"","V1","V2"
"1","y2015","-0.00361389513062479"
"2","y2016","0.00192740207463563"
"3","y2017","0.00198112344474733"
"4","y2018","0.002007237290317"
"5","y2019","0.00201713123034984"
"6","y2020","0.00201583361322863"
"7","y2021","0.00200690797787585"
"8","y2022","0.00199243082553497"
"9","y2023","0.00197571367775542"
"10","y2024","0.00195763705603543"
"11","y2025","0.00193944251907566"
"12","y2026","0.00192244968095704"
"13","y2027","0.00190676760177531"
"14","y2028","0.00189405963083269"
"15","y2029","0.00188490149590479"
"16","y2030","0.00188016056347588"
